"","question_text","answer_text","questionId","question_type","question_file","answer_file"
"22","Which bird species has survived more than 70 million years, despite the fact that it lays one egg a year and is nearly blind?","Kiwi","AN_20","Animal","012_q.wav","012_a.wav"
"23","What brighly colored monkey is the world's largest?","The mandrill","AN_21","Animal","008_q.wav","008_a.wav"
"24","Which is the only mammal that can kneel on all fours?","Elephant","AN_22","Animal","241_q.wav","241_a.wav"
"25","Which animal is responsible for the most human deaths worldwide?","Mosquito","AN_23","Animal","116_q.wav","116_a.wav"
"26","What is the most common mammal in the U.S.?","Mouse","AN_24","Animal","149_q.wav","149_a.wav"
"27","Under their white fur, what color is a polar bear's skin?","Black","AN_25","Animal","283_q.wav","283_a.wav"
"28","What is the only type of lizard that has a voice?","Gecko","AN_27","Animal","136_q.wav","136_a.wav"
"29","Which is the only cat that cannot retract its claws?","Cheetah","AN_28","Animal","251_q.wav","251_a.wav"
"30","Which animal can move its eyes in two directions at the same time?","Chameleon","AN_29","Animal","100_q.wav","100_a.wav"
"31","In the American legal system, evidence provided by which animal is admissible in court?","Bloodhound","AN_30","Animal","231_q.wav","231_a.wav"
"32","What is the only type of animal besides a human that can get a sunburn?","Pig","AN_31","Animal","183_q.wav","183_a.wav"
"33","What's a group of kittens called?","Kindle","AN_32","Animal","235_q.wav","235_a.wav"
"34","What animal is thought to be immune to most all diseases, including cancer?","Shark","AN_33","Animal","125_q.wav","125_a.wav"
"35","Lobster blood is what color?","Blue","AN_34","Animal","245_q.wav","245_a.wav"
"36","What are male honeybees called?","Drones","AN_35","Animal","151_q.wav","151_a.wav"
"37","Certain types of which animal can be frozen solid and then continue living once thawed?","Frog","AN_36","Animal","128_q.wav","128_a.wav"
"38","What mammal sleeps the most hours each day?","Cat","AN_38","Animal","146_q.wav","146_a.wav"
"39","Which animal's milk does not curdle?","Camel","AN_39","Animal","039_q.wav","039_a.wav"
"40","What is the largest creature without a backbone?","Giant squid","AN_40","Animal","240_q.wav","240_a.wav"
"41","Which species of snake gives birth to its young instead of laying eggs?","Anaconda","AN_41","Animal","073_q.wav","073_a.wav"
"42","What name is given to an eagle's nest?","Aerie","AN_42","Animal","054_q.wav","054_a.wav"
"43","Which animal's tongue is twice the length of its body?","Chameleon","AN_43","Animal","200_q.wav","200_a.wav"
"44","Which animal can survive without ever drinking any water?","Kangaroo rat","AN_44","Animal","239_q.wav","239_a.wav"
"45","With its 240 mph hunting dive, what species of raptor is the fastest animal on earth?","Peregrine falcon","AN_45","Animal","080_q.wav","080_a.wav"
"46","Babies of which animal species can be six feet at birth?","Giraffes","AN_46","Animal","282_q.wav","282_a.wav"
"47","Which animal was named for what was wrongly thought to be its country of origin?","Turkey","AN_47","Animal","234_q.wav","234_a.wav"
"48","Which animal can have eyes that are a foot in diameter?","Giant squid","AN_48","Animal","233_q.wav","233_a.wav"
"49","Which insect, one of the fastest, can fly at speeds up to 60 mph?","Dragonflies","AN_49","Animal","296_q.wav","296_a.wav"
"50","What color is insect blood?","Yellow","AN_50","Animal","045_q.wav","045_a.wav"
"51","The Egyptian plover is a bird best known for its symbiotic relationship with what host animal?","The crocodile","AN_51","Animal","053_q.wav","053_a.wav"
"52","What is a female donkey called?","A jenny","AN_52","Animal","169_q.wav","169_a.wav"
"53","Which animal's eyes are bigger than its brain?","Ostrich","AN_53","Animal","086_q.wav","086_a.wav"
"54","What marine mammal has the longest lifespan?","Blue whales","AN_54","Animal","147_q.wav","147_a.wav"
"55","What is the world's deadliest snake?","Black Mamba","AN_55","Animal","104_q.wav","104_a.wav"
"56","What are infant marsupials called?","Joeys","AN_56","Animal","026_q.wav","026_a.wav"
"57","What animal has no vocal cords?","Giraffes","AN_57","Animal","300_q.wav","300_a.wav"
"58","What kind of animal was Hariet, who died at the Queensland Zoo in 2006 and was claimed to have belonged to Charles Darwin?","A Galapagos giant tortoise","AN_58","Animal","138_q.wav","138_a.wav"
"59","What Asian dog breed is notable for its blue tongue?","The chow chow","AN_59","Animal","272_q.wav","272_a.wav"
"60","Which wild mammal in Africa has killed the highest number of people?","Hippopotamus","AN_60","Animal","216_q.wav","216_a.wav"
"61","What animal lives in a holt?","An otter","AN_61","Animal","141_q.wav","141_a.wav"
"62","What is the largest bird in the world?","Ostrich","AN_62","Animal","295_q.wav","295_a.wav"
"63","Which animal gives birth through the mouth?","The gastric brooding frog","AN_63","Animal","075_q.wav","075_a.wav"
"64","The venom of which spider is more potent than that of a rattlesnake?","Female black widow","AN_64","Animal","055_q.wav","055_a.wav"
"65","Which bird is so small that one of its enemies is an insect?","Hummingbird","AN_65","Animal","248_q.wav","248_a.wav"
"66","What animal, which eighteenth century settlers called a """"native bear"""", has two opposable thumbs on each hand?","Koala","AN_66","Animal","095_q.wav","095_a.wav"
"67","What kind of animal is Jonathan, the oldest-known land animal alive today at 190 years old?","A Seychelles giant tortoise","AN_67","Animal","047_q.wav","047_a.wav"
"68","What is the biggest land animal in the world?","African elephant","AN_68","Animal","057_q.wav","057_a.wav"
"69","Which animal has tubular shaped eyeballs, which therefore cannot move?","Owl","AN_69","Animal","092_q.wav","092_a.wav"
"70","Which is the largest species of dolphin?","Orca (Killer Whale)","AN_70","Animal","293_q.wav","293_a.wav"
"71","What is the only bird that can fly straight up, down, or backward?","Hummingbird","AN_71","Animal","161_q.wav","161_a.wav"
"72","What animal is potentially immortal?","The jellyfish Turritopsis dohrnii","AN_72","Animal","071_q.wav","071_a.wav"
"73","What animal has the longest terrestrial migrations in the world?","Caribou","AN_73","Animal","257_q.wav","257_a.wav"
"74","Which insect can lift up to 50 times its body weight?","Ants","AN_74","Animal","214_q.wav","214_a.wav"
"75","What animal can snap its claws shut to stun its prey and generate a sonic blast louder than the sound of a gunshot reaching 210 decibels?","The pistol shrimp","AN_75","Animal","174_q.wav","174_a.wav"
"76","Which pop star is the godmother of both of Elton John's sons?","Lady Gaga","AR_01","Art","244_q.wav","244_a.wav"
"77","What is Rihanna's real name?","Robyn Fenty","AR_02","Art","253_q.wav","253_a.wav"
"78","Who was the first winner of the show """"The Masked Singer"""" in 2019?","T-Pain","AR_03","Art","190_q.wav","190_a.wav"
"79","How many kids does Angelina Jolie have?","6 (Maddox, Pax, Zahara, Shiloh, Knox, and Vivienne).","AR_04","Art","202_q.wav","202_a.wav"
"80","What year did Keeping Up with the Kardashians first premier?","2007","AR_05","Art","226_q.wav","226_a.wav"
"81","Who was the only actor of the Star Wars films that was nominated for an Oscar?","Alec Guinness","AR_06","Art","247_q.wav","247_a.wav"
"82","For the 2019 film """"1917"""", which was edited to look like one continuous shot, how many minutes was the longest actual uninterrupted take?","Eight and a half minutes","AR_07","Art","170_q.wav","170_a.wav"
"83","Which actor, known for his role in the TV sitcom """"Friends"""", has part of his middle finger missing?","Matthew Perry","AR_08","Art","236_q.wav","236_a.wav"
"84","Whitney Houston was a producer on which commercially successful coming-of-age comedy film in 2001?","The Princess Diaries","AR_09","Art","171_q.wav","171_a.wav"
"85","What film has the highest production cost?","Pirates of the Caribbean: On Stranger Tides","AR_10","Art","006_q.wav","006_a.wav"
"86","Which movie kicked off the Marvel Cinematic Universe?","Iron Man","AR_11","Art","209_q.wav","209_a.wav"
"87","Who was sued in 1999 by Rosa Parks after they used her name to title a hit song?","OutKast","AR_12","Art","049_q.wav","049_a.wav"
"88","What is the name of the second film in James Cameron's """"Avatar""""'s series?","Avatar: The Way of Water","AR_13","Art","063_q.wav","063_a.wav"
"89","Which actor gave a reading at Stephen Hawking's funeral after playing Hawking and befriending him during the filming of his biopic """"The Theory of Everything""""?","Eddie Redmayne","AR_14","Art","208_q.wav","208_a.wav"
"90","What's the only Best Picture Oscar winner whose title ends with an exclamation point?","Oliver!","AR_15","Art","212_q.wav","212_a.wav"
"91","Shakespeare mentioned his wife only once in his will, making her the odd bequest of his """"second best"""" what? ","Bed","AR_16","Art","178_q.wav","178_a.wav"
"92","What 1990s one-hit wonder wrote Christina Aguilera's hit """"Beautiful""""? ","Linda Perry","AR_17","Art","016_q.wav","016_a.wav"
"93","Which film is shown during NASA's management trianing program with the task of spotting as many errors as possible?","Armageddon","AR_18","Art","201_q.wav","201_a.wav"
"94","Who is actress Rashida Jones's famous mother?","Peggy Lipton","AR_19","Art","023_q.wav","023_a.wav"
"95","Which artist made history in 2020 as the youngest winner of the Grammys' four main categories?","Billie Eilish","AR_20","Art","215_q.wav","215_a.wav"
"96","Which was the only one of his sculptures that Michelangelo signed?","The Pieta","AR_21","Art","219_q.wav","219_a.wav"
"97","What was the first American novel to sell one million copies?","Uncle Tom's Cabin","AR_22","Art","198_q.wav","198_a.wav"
"98","Which actress tried to hire a hitman to kill herself at the age of 22?","Angelina Jolie","AR_23","Art","133_q.wav","133_a.wav"
"99","The film """"Dallas Buyers Club"""", with a budget of $250 for makeup and hairstyling, won which award in 2014?","The Oscars for Best Makeup and Hairstyling","AR_24","Art","069_q.wav","069_a.wav"
"100","The title of the song """"Kumbaya"""" is actually a distortion of what three-word phrase?","Come by her","AR_25","Art","292_q.wav","292_a.wav"
"101","What classic Disney song was inspired by lyricist Robert Sherman's fiver-year old son receiving the Sabin polio vaccine at school?","A Spoonful of Sugar","AR_26","Art","105_q.wav","105_a.wav"
"102","Who was the first woman film director to have a film take in more than $100 million at the box office?","Penny Marshall","AR_27","Art","185_q.wav","185_a.wav"
"103","Who was banned from Saturday Night Live by viewer phone vote in 1982?","Andy Kaufman","AR_28","Art","037_q.wav","037_a.wav"
"104","What eighteen-minute song tells the true story of its writer's arrest for illegally dumping garbage on Thanksgiving Day 1965?","Alice's Restaurant","AR_29","Art","140_q.wav","140_a.wav"
"105","What was Randy Newman's only Top Forty hit?","""""Short People"""" ","AR_30","Art","193_q.wav","193_a.wav"
"106","Who was the first host of Saturday Night Live?","George Carlin","AR_31","Art","254_q.wav","254_a.wav"
"107","According to the Guinness Book of Records, what was the loudest rock band ever?","KISS","AR_32","Art","018_q.wav","018_a.wav"
"108","Who provided the voice for cartoon character Inspector Gadget?","Don Adams","AR_33","Art","010_q.wav","010_a.wav"
"109","What was The Beatles's first song to hit the UK charts?","Love Me Do","AR_34","Art","070_q.wav","070_a.wav"
"110","What kind of """"pet sounds"""" are actually heard at the end of the Beach Boys album of that name? ","Dogs barking","AR_35","Art","242_q.wav","242_a.wav"
"111","What actor got his unusual nickname from his college roommate Stanley Tucci, who didn't like calling him """"Irving""""?","Ving Rhames","AR_36","Art","156_q.wav","156_a.wav"
"112","What """"Three Faces of Eve"""" star got the first star on Hollywood's Walk of Fame? ","Joanne Woodward","AR_37","Art","262_q.wav","262_a.wav"
"113","What did Kurt Vonnegut describe by saying, """"They are transvestite hermaphrodites, standing for absolutely nothing. All they do is show you've been to college""""?","Semicolons","AR_38","Art","112_q.wav","112_a.wav"
"114","Who had the last number one hit of the 1950s with his song """"Why""""? ","Frankie Avalon","AR_39","Art","081_q.wav","081_a.wav"
"115","Who ended his Carnegie Hall concert by loading the audience into thirty-five buses and taking them out for milk and cookies?","Andy Kaufman","AR_40","Art","052_q.wav","052_a.wav"
"116","Which kung fu choreographer worked on """"The Matrix""""?","Woo-Ping Yuen","AR_41","Art","089_q.wav","089_a.wav"
"117","Which prince did Rita Hayworth marry?","Aly Khan","AR_42","Art","228_q.wav","228_a.wav"
"118","What future radio star had a number one hit with his novelty number """"Disco Duck""""?  ","Rick Dees","AR_43","Art","211_q.wav","211_a.wav"
"119","What director of the New York Philharmonic was the first American to conduct at the famous Bayreuth Festival?","Lorin Maazel","AR_44","Art","222_q.wav","222_a.wav"
"120","What road, which names a 2002 film, divides Wayne County from affluent Oakland and Maycomb Counties?","8 Mile Road","AR_45","Art","060_q.wav","060_a.wav"
"121","The Hollywood """"Production Code"""" of the 1930s was named for what former postmaster general and chairman of the Republican National Committee?","Will Hays","AR_46","Art","225_q.wav","225_a.wav"
"122","Who wrote the song entitled Auld Lang Syne?","Robert Burns","AR_47","Art","276_q.wav","276_a.wav"
"123","Which entertainer was shot and killed by his father on April 1, 1984? ","Marvin Gaye","AR_48","Art","121_q.wav","121_a.wav"
"124","What famed TV personality wrote the screenplay for 1968's Planet of the Apes?","Rod Serling","AR_49","Art","007_q.wav","007_a.wav"
"125","Pablo Picasso was one of the suspects questioned when what item was stolen in Paris in 1911?","The Mona Lisa","AR_50","Art","004_q.wav","004_a.wav"
"126","Who is actor Miguel Ferrer's famous mother?","Rosemary Clooney","AR_51","Art","124_q.wav","124_a.wav"
"127","What slightly hallucinogenic spice did Malcolm X use to get high while in prison?","Nutmeg","AR_52","Art","268_q.wav","268_a.wav"
"128","Who released only a single album during his lifetime, the ominously named Ready to Die? ","The Notorious BIG","AR_53","Art","279_q.wav","279_a.wav"
"129","Which celebrity actress once had a job putting cosmetics on corpses?","Whoopi Goldberg","AR_54","Art","258_q.wav","258_a.wav"
"130","What word is the actual title of the 1979 hit usually called """"The Pina Colada Song""""?   ","Escape","AR_55","Art","192_q.wav","192_a.wav"
"131","What Beatles number one hit repeats the title in the lyrics forty-one times?","Let It Be","AR_56","Art","210_q.wav","210_a.wav"
"132","What Oscar-winning Best Picture is named for a type of rose?","American Beauty","AR_57","Art","154_q.wav","154_a.wav"
"133","Which Alice in Wonderland character is a reference to its author, Lewis Carroll, who used to stutter when saying his own name?","The Dodo","AR_58","Art","299_q.wav","299_a.wav"
"134","Who's the only character in """"Peter and the Wolf"""" represented by a brass instrument?","The wolf (french horn)","AR_59","Art","155_q.wav","155_a.wav"
"135","What singer took his stage name from a Dublin hearing aid billboard?","Bono","AR_60","Art","110_q.wav","110_a.wav"
"136","What was the name of William Shakespeare's wife?","Anne Hathaway","AR_61","Art","087_q.wav","087_a.wav"
"137","In what Edgar Allan Poe story does an old man's oddly clouded eye lead to murder?","The Tell-Tale heart","AR_62","Art","048_q.wav","048_a.wav"
"138","What was the first animated film to win an Academy Award?","Beauty and the Beast","AR_63","Art","107_q.wav","107_a.wav"
"139","What bay is Otis Redding serenading in """"(Sittin' on) the Dock of the Bay""""? ","San Francisco Bay","AR_64","Art","186_q.wav","186_a.wav"
"140","What Jack Nicholson comedy was translated as """"Mr. Cat Poop"""" in Cantonese when it was released in China?","As Good As It Gets","AR_65","Art","050_q.wav","050_a.wav"
"141","Which person has been awarded the most Oscars ever?","Katharine Hepburn","AR_66","Art","093_q.wav","093_a.wav"
"142","In """"Charlie and the Chocolate Factory"""", what animals dispose of Veruca Salt?","Squirrels","AR_67","Art","267_q.wav","267_a.wav"
"143","What Steinbeck novel takes its title from a poem by Julia Ward Howe?","The Grapes of Wrath","AR_68","Art","145_q.wav","145_a.wav"
"144","Who performs the guest guitar solo on Michael Jackson's """"Beat It""""?  ","Eddie Van Halen","AR_69","Art","297_q.wav","297_a.wav"
"145","According to the title of a 1947 play, how does one get from the New Orleans train station to the apartment at 632 Elysian Fields?","On A Streetcar Named Desire","AR_70","Art","027_q.wav","027_a.wav"
"146","What is the real name of Vanilla Ice?","Robert Van Winkle","AR_71","Art","221_q.wav","221_a.wav"
"147","Which book was written in response to an editor's challenge to write a book using fewer than 50 different words?","Dr. Seuss's Green Eggs and Ham","AR_72","Art","032_q.wav","032_a.wav"
"148","Who wrote the children's story entitled 'The Little Mermaid'?","Hans Christian Andersen","AR_73","Art","011_q.wav","011_a.wav"
"149","Who plays drums on the Beatles track """"Back in the U.S.S.R""""? ","Paul McCartney","AR_74","Art","051_q.wav","051_a.wav"
"150","What British author wrote """"Keep the Aspidistra Flying"""" about his years working as an assistant at a used bookshop in Hampstead?","George Orwell","AR_75","Art","195_q.wav","195_a.wav"
"151","What is the world's most expensive fungus?","White truffle","FO_01","Food","079_q.wav","079_a.wav"
"152","Who made the first hot chocolate drink?","The Maya and Aztec peoples","FO_02","Food","131_q.wav","131_a.wav"
"153","What plant's roots are used to make tapioca?","The cassava's","FO_03","Food","117_q.wav","117_a.wav"
"154","What chili pepper was believed the hottest in the world until the Naga Jolokia pepper was discovered in India in 2000?","Habanero","FO_04","Food","096_q.wav","096_a.wav"
"155","What is a cluster of bananas called?","A hand","FO_05","Food","166_q.wav","166_a.wav"
"156","What diet drink was hyped by Coca-Cola for having only one calorie in 1963?","Tab","FO_06","Food","213_q.wav","213_a.wav"
"157","What snack did Teressa Bellissimo invent at the Anchor Bar, in upstate New York, on October 3, 1964?","Buffalo wings","FO_07","Food","120_q.wav","120_a.wav"
"158","What kind of """"oven"""" is the official state cooking pot of Utah? ","Dutch Oven","FO_08","Food","191_q.wav","191_a.wav"
"159","What popular drink was first marketed as a brain tonic?","Coca-cola","FO_09","Food","218_q.wav","218_a.wav"
"160","What whiskey cocktail lends its name to the short glass also called a """"lowball""""?","The old-fashioned","FO_10","Food","203_q.wav","203_a.wav"
"161","What everyday food will make a drug test show up positive?","Poppy seeds","FO_11","Food","122_q.wav","122_a.wav"
"162","What Hershey's candy is so named because the original manufacturing process couldn't produce the perfectly round candies the company wanted?","Milk Duds","FO_12","Food","177_q.wav","177_a.wav"
"163","What kind of wine takes its name from the Spanish town of Jerez, where it's made? ","Sherry","FO_13","Food","288_q.wav","288_a.wav"
"164","What grape, used to make a popular California wine, is called Primitivo in Europe?  ","Zinfindel","FO_14","Food","173_q.wav","173_a.wav"
"165","The name of what popular beverage is a euphemism for moonshine?","Mountain Dew","FO_15","Food","194_q.wav","194_a.wav"
"166","The Italian government regulates the price of what beverage?","Espresso","FO_16","Food","111_q.wav","111_a.wav"
"167","What semolina product is used to make the Moroccan dessert seffa?","Couscous","FO_17","Food","275_q.wav","275_a.wav"
"168","What is the world's best-selling brand of cookie, with 6 billion sold each year? ","Oreo","FO_18","Food","298_q.wav","298_a.wav"
"169","What word in the Alfa-Bravo-Charlie alphabet is also an alcoholic drink?","Whiskey","FO_19","Food","277_q.wav","277_a.wav"
"170","What was the original flavor of the cream in Twinkies?","Banana","FO_20","Food","167_q.wav","167_a.wav"
"171","What Kellogg's product was introduced to compete with Post's unsuccessful Country Squares?","Pop-Tarts","FO_21","Food","135_q.wav","135_a.wav"
"172","Which Is the most expensive spice in the world by weight?","Saffron","FO_22","Food","286_q.wav","286_a.wav"
"173","What is the world's most popular grain?","Rice","FO_23","Food","168_q.wav","168_a.wav"
"174","Where do red candies get their color from?","Carmine, from boiled cochineal bugs","FO_24","Food","227_q.wav","227_a.wav"
"175","What object, because of its physical similarities, inspired the early discoverers of pineapples to name it so?","Pine cones","FO_25","Food","102_q.wav","102_a.wav"
"176","What is the name of the scale chefs use to measure the spiciness heat of pepper?","Scoville scale","FO_26","Food","273_q.wav","273_a.wav"
"177","What dish has Indian origin but is the national dish of England?","Chicken Tikka masala","FO_27","Food","205_q.wav","205_a.wav"
"178","Coffee can only be commercially grown in which two states in the US?","California and Hawaii","FO_28","Food","094_q.wav","094_a.wav"
"179","Fiochetti is pasta that comes in what shape?","Bows","FO_29","Food","160_q.wav","160_a.wav"
"180","What are butter beans in the UK called in the US?","Lima beans","FO_30","Food","224_q.wav","224_a.wav"
"181","Gerber's most popular flavor of baby food is what?","Mashed bananas","FO_31","Food","030_q.wav","030_a.wav"
"182","What is the record for the most hotdogs eaten in one sitting at Nathan's Hot Dog Eating Contest?","76 in 10 minutes","FO_32","Food","119_q.wav","119_a.wav"
"183","What are Cantonese mooncakes filled with?","Red bean paste or lotus seed paste","FO_33","Food","176_q.wav","176_a.wav"
"184","What three groups are Kosher foods divided into?","Meat, dairy and pareve","FO_34","Food","015_q.wav","015_a.wav"
"185","What is the proffessional name for cutting vegetables into short, thin strips?","Julienne","FO_35","Food","199_q.wav","199_a.wav"
"186","In 1930, which food made its debut in Pennsylvania?","The Philly Cheesesteak","FO_36","Food","044_q.wav","044_a.wav"
"187","Which of the world's most widely distributed food crop does not exist naturally in the wild?","Corn","FO_37","Food","260_q.wav","260_a.wav"
"188","What practice to cultivate food is the world's largest industry?","Agriculture","FO_38","Food","072_q.wav","072_a.wav"
"189","Which commonly consumed meat has the highest carbon footprint?","Lamb","FO_39","Food","197_q.wav","197_a.wav"
"190","Which country did brie cheese originate from?","France","FO_40","Food","182_q.wav","182_a.wav"
"191","What is the most widely eaten food in the world?","Rice","FO_41","Food","043_q.wav","043_a.wav"
"192","Where did ketchup originate from?","China","FO_42","Food","033_q.wav","033_a.wav"
"193","What is the most common food allergen?","Nuts","FO_43","Food","263_q.wav","263_a.wav"
"194","Bouillabaisse is a fish stew that comes from which French city?","Marseille","FO_44","Food","040_q.wav","040_a.wav"
"195","Which spice is used in a Paella to give the rice the yellow colour?","Saffron","FO_45","Food","139_q.wav","139_a.wav"
"196","Instead of the root Wasabia Japonica, which is what real wasabi is made from, what is commercial wasabi the product of?","Horseradish","FO_46","Food","108_q.wav","108_a.wav"
"197","Farmed salmon has to be dyed pink while real wild salmon has naturally pink flesh due to their consumption of what?","Shrimp","FO_47","Food","082_q.wav","082_a.wav"
"198","Where was American cheese invented?","Switzerland","FO_48","Food","261_q.wav","261_a.wav"
"199","What is the most stolen food in the world?","Cheese","FO_49","Food","246_q.wav","246_a.wav"
"200","What brand takes up 25% of the entire world's production of hazelnut?","Nutella","FO_50","Food","097_q.wav","097_a.wav"
"201","In which American state was Coca-Cola was first sold?","Atlanta, Geogria","FO_51","Food","291_q.wav","291_a.wav"
"202","Where was the canned pork Spam invented?","Minnesota","FO_52","Food","181_q.wav","181_a.wav"
"203","What deadly chemical can be produced upon consumption of raw lima beans?","Cyanide","FO_53","Food","126_q.wav","126_a.wav"
"204","What is """"Bird's nest soup"""" made up of?","Solidified bird saliva","FO_54","Food","123_q.wav","123_a.wav"
"205","What method of preserving food did the Incas first use, on potatoes?","Freeze drying","FO_55","Food","020_q.wav","020_a.wav"
"206","Under ultraviolet light, what popular soft drink can glows bright blue?","Tonic water","FO_56","Food","232_q.wav","232_a.wav"
"207","What was the first modern American supermarket?","Piggly Wiggly in Memphis, Tennessee","FO_57","Food","028_q.wav","028_a.wav"
"208","Before the late 16th century, what color was the original carrot?","Purple","FO_58","Food","294_q.wav","294_a.wav"
"209","What is the study of grape cultivation called?","Viticulture","FO_59","Food","024_q.wav","024_a.wav"
"210","What does the dish Devil on Horseback contain?","Bacon and prunes","FO_60","Food","009_q.wav","009_a.wav"
"211","What tree gives us prunes?","Plum tree","FO_61","Food","038_q.wav","038_a.wav"
"212","What ingredient in fresh milk is eventually devoured by bacteria, causing the sour taste?","Lactose","FO_62","Food","034_q.wav","034_a.wav"
"213","Cured Salmon is the main ingredient of which food?","Gravlax","FO_63","Food","058_q.wav","058_a.wav"
"214","What is the national food of Italy","Bolognese sauce with tagliatelle pasta.","FO_64","Food","250_q.wav","250_a.wav"
"215","Who developed the first baking ovens?","Egyptians","FO_65","Food","162_q.wav","162_a.wav"
"216","What condiment, usually consumed in solid form on Earth, is only available in liquid form in space?","Salt and pepper","FO_66","Food","188_q.wav","188_a.wav"
"217","What is the only fruit with seeds on the outside?","Strawberries","FO_67","Food","002_q.wav","002_a.wav"
"218","Which variety of chili pepper is considered the hottest in the world?","The Carolina Reaper","FO_68","Food","076_q.wav","076_a.wav"
"219","What is the common name for the Chinese gooseberry fruit?","Kiwifruit","FO_69","Food","172_q.wav","172_a.wav"
"220","Mozzarella cheese is traditionally made from the milk of what animal?","Water buffalo","FO_70","Food","206_q.wav","206_a.wav"
"221","Where were French fries first invented?","Belgium","FO_71","Food","184_q.wav","184_a.wav"
"222","Which famous American beverage was first invented in 1886?","Coca-cola","FO_72","Food","270_q.wav","270_a.wav"
"223","Which food considered a delicacy today, was once a working class food?","Lobster","FO_73","Food","083_q.wav","083_a.wav"
"224","Which fruit has the richest source of antioxidants?","Blueberries","FO_74","Food","158_q.wav","158_a.wav"
"225","Mace grows around the outside of which fruit?","Nutmeg","FO_75","Food","256_q.wav","256_a.wav"
"226","Which country has the most caves in the world?","Slovakia","GE_01","Geography","289_q.wav","289_a.wav"
"227","About half of the population of what Pacific island has the surname Christian?","Pitcairn Island","GE_02","Geography","021_q.wav","021_a.wav"
"228","Thimpu, the world's only capital city with no traffic lights, is the capital of what tiny kingdom?","Bhutan","GE_03","Geography","249_q.wav","249_a.wav"
"229","What is the least densely populated territory in the world?","Greenland","GE_04","Geography","066_q.wav","066_a.wav"
"230","What US state advertised """"The Greatest Snow on Earth"""" on its license plates?","Utah","GE_05","Geography","150_q.wav","150_a.wav"
"231","What's the most populous city in the Southern Hemisphere?","Sao Paulo","GE_06","Geography","074_q.wav","074_a.wav"
"232","The first suburban shopping center in the U.S. was established in what city?","Kansas City","GE_07","Geography","159_q.wav","159_a.wav"
"233","Which is the only US state that has a pennant-shaped flag instead of a rectangular one?","Ohio","GE_08","Geography","077_q.wav","077_a.wav"
"234","On what namesake Asian island are the first Homo erectus fossils found?","Java","GE_09","Geography","187_q.wav","187_a.wav"
"235","In which country is it most common for divers to be attacked by sharks?","United States","GE_10","Geography","204_q.wav","204_a.wav"
"236","What port, its state's largest city, is nicknamed the Brick City?","Newark, NJ","GE_11","Geography","115_q.wav","115_a.wav"
"237","Which country's terrain is one of the lowest in the world, and is threatened by the global sea level rise?","The Maldives","GE_12","Geography","259_q.wav","259_a.wav"
"238","What EU nation was once led by a president and a prime minister who were identical twins?","Poland","GE_13","Geography","103_q.wav","103_a.wav"
"239","Of all the countries named for a person, which country is named for the person who lived most recently?","Bolivia","GE_14","Geography","029_q.wav","029_a.wav"
"240","What is the highest peak of the Andes Mountains called?","Mount Aconcagua","GE_15","Geography","118_q.wav","118_a.wav"
